time_python_bubble,time_cython_bubble,time_python_selection,time_cython_selection
20.99186,4.750536,15.426832,4.724141
20.53409,4.545750,15.634530,4.650764
20.55828,4.604693,15.428774,4.731127
20.64768,4.623097,15.588240,4.684082
20.49140,4.697172,15.361899,4.737507
20.45384,4.645515,15.451138,4.767693
20.43781,4.680391,15.314778,4.737888
20.48293,4.576521,15.473907,4.716865
20.44921,4.626961,15.489047,4.727642
20.32562,4.579842,15.389027,4.671235
20.41673,4.613814,15.424823,4.630284
20.42522,4.663974,15.372050,4.726817
20.30922,4.609456,15.405290,4.708675
20.39352,4.633088,15.407586,4.734934
20.38935,4.572888,15.248226,4.639983
20.28936,4.583328,15.382560,4.720297
20.46688,4.682802,15.315663,4.561605
20.19072,4.616407,15.318289,4.703092
20.25118,4.545609,15.357904,4.614608
20.31712,4.620979,15.299076,4.729913
20.22266,4.614967,15.254278,4.529820
20.10781,4.620993,15.239440,4.750289
20.21401,4.564350,15.294102,4.647457
20.34608,4.536780,15.212852,4.652794
20.18135,4.559682,15.395066,4.635659
20.30945,4.489840,15.274636,4.670525
20.26991,4.624563,15.331995,4.677547
20.33752,4.563024,15.522372,4.564700
19.83639,4.514608,15.068289,4.609718
19.88033,4.446790,14.916559,4.565621
